name,short_code,type,region,district,latitude,longitude,zone
JB,122923-6,private,Tabora,Tabora MC,-5.01823,32.79275,central
JBK HEALTH,124432-6,private,Dar Es Salaam,Ilala MC,-6.91324,39.20586,coastal
JC,113368-5,private,Mwanza,Nyamagana MC,-2.62351,32.94551,lake
JC,113385-9,private,Mwanza,Ilemela MC,-2.49221,32.91003,lake
JD,122032-6,private,Dar Es Salaam,Ubungo MC,-6.46123,39.04412,coastal
JDSM EYE & VISION CARE,112859-4,private,Dodoma,Dodoma CC,-6.17818,35.74823,central
JDSM EYE AND SIGHT CARE DODOMA BRANCH,112954-3,private,Dodoma,Dodoma CC,,,central
JEBU,124532-3,private,Tabora,Tabora MC,-5.00198,32.80439,central
JEBU,124487-0,private,Mtwara,Newala TC,,,southern
JEFA'S,122033-4,private,Morogoro,Ifakara TC,,,coastal
JEHOVA SHAMMAH,121528-4,private,Dodoma,Chamwino DC,,,central
JEHOVAH SHALOM,121135-8,private,Dodoma,Dodoma CC,,,central
JEHOVAH SHALOM,123342-8,private,Dodoma,Dodoma CC,-6.16278,35.89851,central
Jehovarapha Crosby,112215-9,private,Dodoma,Dodoma CC,-6.12818,35.74606,central
JEK TANZANITE POLY,114833-7,private,Dar Es Salaam,Kigamboni MC,-6.86237,39.360592,coastal
JEMA,113246-3,private,Dar Es Salaam,Ubungo MC,-6.75468,39.04994,coastal
JEMA,102079-1,public,Arusha,Ngorongoro DC,-2.13714,35.88556,northern
JEMIX HEALTH CARE,123039-0,private,Dar Es Salaam,Ubungo MC,-6.74119,39.16869,coastal
Jemsa,102080-9,private,Dar Es Salaam,Ilala MC,-6.84412,39.18449,coastal
JEN-K,122188-6,private,Pwani,Bagamoyo DC,-6.528725,38.98634,coastal
JENEFA,111302-6,private,Morogoro,Kilosa DC,-7.66203,36.99272,coastal
JENIPHER,124320-3,private,Dodoma,Chamwino DC,-6.59881,35.81624,central
JEREMIA,113523-5,private,Dar Es Salaam,Temeke MC,-6.86268,39.26733,coastal
JEREMIA,112942-8,private,Mtwara,Newala DC,-10.65191,39.33437,southern
JEREN,124117-3,private,Njombe,Njombe TC,-9.54893,35.10874,shighland
JERICO MEDICAL LABORATORY,122764-4,private,Mbeya,Mbarali DC,,,shighland
JERUSALEM,120546-7,private,Geita,Geita TC,-2.9167297,32.16613,lake
JERUSALEM,113554-0,private,Mara,Serengeti DC,-4.8915877,38.29026,lake
JERUSALEM,122021-9,private,Ruvuma,Mbinga DC,,,shighland
JERUSALEM,125112-3,private,Songwe,Mbozi DC,-9.00275,33.03988,shighland
JERUSALEM MEDICAL LABORATORY,121122-6,private,Dodoma,Dodoma CC,-6.23378,35.71233,central
JERUSAREM MAABARA,122996-2,private,Simiyu,Maswa DC,-2.95261,33.66611,lake
JESE MA,122904-6,private,Dar Es Salaam,Ilala MC,-6.95821,39.09201,coastal
JESHINI,106879-0,public,Mtwara,Masasi TC,,,southern
JESS OPTICIANS,112605-1,private,Dar Es Salaam,Ilala MC,-6.817517,39.285686,coastal
